房源名称,户型,面向,面积,所属区,地址,价钱
合租·中房优山PLUS,4居室,南卧,16㎡,锦江区,锦江东客站,950 元/月
合租·中房优山PLUS,4居室,南卧,16㎡,锦江区,锦江东客站,950 元/月
天紫界,1室0厅,西南,30㎡,锦江区,锦江九眼桥,2300 元/月
合租·中房优山PLUS,4居室,南卧,16㎡,锦江区,锦江东客站,950 元/月
合租·中房优山PLUS,4居室,南卧,16㎡,锦江区,锦江东客站,950 元/月
合租·中房优山PLUS,4居室,南卧,17㎡,锦江区,锦江东客站,1000 元/月
独栋·乐乎城市青年社区,春熙路店,绿青萝2.0A,南,锦江区,,1950-2600 元/月
镏金岁月,2室1厅,东南,75㎡,锦江区,锦江攀成钢,3000 元/月
合租·中房优山PLUS,4居室,南卧,14㎡,锦江区,锦江东客站,900 元/月
长城锦苑,1室0厅,东,20㎡,锦江区,锦江红星路,1300 元/月
城市理想,1室0厅,南,40㎡,锦江区,锦江盐市口,3500 元/月
合租·中房优山PLUS,5居室,南卧,18㎡,锦江区,锦江东客站,1100 元/月
合租·中房优山PLUS,5居室,南卧,15㎡,锦江区,锦江东客站,900 元/月
合租·中房优山PLUS,4居室,南卧,18㎡,锦江区,锦江东客站,1100 元/月
合租·中房优山PLUS,4居室,南卧,14㎡,锦江区,锦江东客站,900 元/月
整租·泰合国际财富中心,2室1厅,东南/南,88㎡,锦江区,锦江攀成钢,3998 元/月
合租·中粮鸿云,4居室,南卧,16㎡,锦江区,锦江东大路,1000 元/月
澳龙名城,1室1厅,南,53㎡,锦江区,锦江攀成钢,2000 元/月
天紫界,1室1厅,东北,63㎡,锦江区,锦江九眼桥,3200 元/月
大王钰城,3室1厅,东/东南,85㎡,锦江区,锦江红星路,3600 元/月
美丽合江,1室1厅,南,53㎡,锦江区,锦江合江亭,2900 元/月
整租·摩根中心,3室1厅,东南,85㎡,锦江区,锦江九眼桥,3400 元/月
独栋·乐乎城市青年社区,春熙路店,小仙女2.0,西南,锦江区,,2000-2650 元/月
合租·蜀都花园,4居室,东北卧,16㎡,锦江区,锦江水碾河,1590 元/月
